,time,likes,title,maintext,user_id,user_age,user_inlevel,sentiment,anticipation
563632,2018/7/12 10:31,0,真服了，今天大涨，但是股票涨幅不大，从开盘冲上去就开始横盘了，什么东西啊,真服了，今天大涨，但是股票涨幅不大，从开盘冲上去就开始横盘了，什么东西啊,2.37E+15,1.9年,4,负面,中性
328544,2018/10/17 9:34,3,为何如此跟别人亦步亦趋，太没有自信了,为何如此跟别人亦步亦趋，太没有自信了,3.49E+15,6.7年,7,中性,中性
13200,2019/3/8 15:11,1,现在可以明确是反弹还是反转了，呵呵。,现在可以明确是反弹还是反转了，呵呵。,7.68E+15,3.1年,3,负面,看跌
218248,2018/12/3 9:20,0,2000必破,2000必破,7.72E+15,3.7年,6,中性,看跌
111175,2019/1/14 19:06,2,输赢对于我这种人来说基本上就是寻找刺激。……其实大部分人喜欢投机博彩都不是因为刚,输赢对于我这种人来说基本上就是寻找刺激。……其实大部分人喜欢投机博彩都不是因为刚性需求……那是一种心灵的满足感……,3.49E+15,9.9年,10,中性,中性
343661,2018/10/11 19:28,1,今晚阳台异常的凉爽。[大笑],今晚阳台异常的凉爽。,6.87E+15,1.4年,4,正面,中性
246260,2018/11/20 14:07,2,悲哀！！,悲哀！！,3.72E+15,6.4年,5,负面,中性
359302,2018/10/9 11:09,1,现在破鼓乱人捶，丢人不怕光腚了。,现在破鼓乱人捶，丢人不怕光腚了。我们一直是熊市，偶尔是牛市，看清楚了是偶尔。看清楚了是偶尔。看清楚了是偶尔。重要的事情说三遍。,3.60E+15,4.6年,5,负面,看跌
641972,2018/6/19 19:10,2,本人今天涨停一支，跌停两只，明天销户，股市本不该进去！！！！！！！！！！！！！！,本人今天涨停一支，跌停两只，明天销户，股市本不该进去！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,8.01E+15,1.2年,2,负面,看跌
29966,2019/3/5 11:19,0,下游没有真金白银，一切空话，快放开股市要股市涨上天去吧[大笑],下游没有真金白银，一切空话，快放开股市要股市涨上天去吧,7.77E+15,6.3年,7,正面,看涨
508300,2018/8/7 10:28,2,讲真，创新低再拉应该好一点,讲真，创新低再拉应该好一点,9.41E+15,1.3年,3,中性,中性
657520,2018/6/15 11:27,0,加速赶底中节后可进场。阳死不活的股市结束了,,6.77E+15,4.9年,4,正面,看涨
75601,2019/2/10 12:31,0,警惕1929,22222,1.03E+15,3.2年,4,中性,中性
87963,2019/1/29 11:06,0,实然发今天的震仓是为节后洗筹的。,实然发今天的震仓是为节后洗筹的。,8.13E+15,3.3年,6,中性,看跌
608055,2018/6/29 10:08,0,放心，今天必须红盘，下午暴涨2830点,同志们,2.11E+15,4年,0,正面,看涨
725361,2018/4/27 11:11,0,股指期货又开始干坏事了,股指期货又开始干坏事了,8.19E+15,1.6年,3,负面,中性
305416,2018/10/22 9:38,0,A股市场，给予阳光 就能灿烂！,A股市场，给予阳光就能灿烂！,5.61E+15,4.3年,4,正面,看涨
220322,2018/11/30 13:26,0,好伤心,好伤心,1.92E+15,3个月,1,负面,中性
621275,2018/6/27 9:16,1,新低之路开启，老乡注意安全,新低之路开启，老乡注意安全,5.80E+15,2年,6,中性,看跌
124952,2019/1/4 14:16,1,涨就卖,涨就卖,4.82E+15,3.9年,5,中性,中性
542871,2018/7/24 10:35,0,这涨得有点儿莫名其妙，会不会跌回来？,那我可以空头回补？,9.48E+15,4年,6,中性,中性
342248,2018/10/12 9:27,0,破2400随便买！创破1000随便买，这就是特色A股,破2400随便买！创破1000随便买，这就是特色A股,6.03E+15,1.2年,3,中性,看跌
568342,2018/7/11 10:10,0,缺口向下，调整至少一周！,,1.41E+15,11个月,4,中性,看跌
36003,2019/3/1 15:08,0,下周的大戏就是看券商，银行耍流氓了！,下周的大戏就是看券商，银行耍流氓了！,2.25E+15,3.7年,6,中性,中性
208340,2018/12/6 14:06,0,2.30你们换在等2.30今天保守估计2个点以上，3点，求证,2.30你们换在等2.30今天保守估计2个点以上，3点，求证,4.95E+15,1.7年,4,中性,看涨
168930,2018/12/21 14:59,2,牛逼疯狂！连跌四天啦,牛逼疯狂！连跌四天啦,3.80E+15,3.1年,5,负面,中性
